original_City,original_ Country,lat,lon,formatted,name,postcode,district,suburb,city,county,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
Kristianstad," Sweden ",56.0293778,14.1566859,"29122 Kristianstad, Sverige",Kristianstad,29122,,,Kristianstad,Skåne län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Malmö," Sweden ",55.6052931,13.0001566,"Malmö, Skåne län, Sverige",,,,,Malmö,Skåne län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Borås," Sweden ",57.7210839,12.9407407,"503 31 Borås, Sverige",Borås,503 31,,,Borås,Västra Götalands län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Linköping," Sweden ",58.4098135,15.6245252,"582 24 Linköping, Sverige",Linköping,582 24,,,Linköping,Östergötlands län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Göteborg," Sweden ",57.7072326,11.9670171,"41106 Göteborg, Sverige",Göteborg,41106,,,Göteborg,Västra Götalands län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nyköping," Sweden ",58.7545409,17.0120656,"611 33 Nyköping, Sverige",Nyköping,611 33,,,Nyköping,Södermanlands län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Växjö," Sweden ",56.8787183,14.8094385,"351 04 Växjö, Sverige",Växjö,351 04,,,Växjö,Kronobergs län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Örebro," Sweden ",59.2747287,15.2151181,"703 61 Örebro, Sverige",Örebro,703 61,,,Örebro,Örebro län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Eskilstuna," Sweden ",59.3717379,16.5051474,"632 20 Eskilstuna, Sverige",Eskilstuna,632 20,,,Eskilstuna,Södermanlands län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Karlskrona," Sweden ",56.1621073,15.5866422,"37131 Karlskrona, Sverige",Karlskrona,37131,,,Karlskrona,Blekinge län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haninge," Sweden ",59.049722,18.266667,"Haninge kommun, Stockholms län, Sverige",,,,,Haninge kommun,Stockholms län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Tensta," Sweden ",59.3957349,17.9032284,"Tensta, 16367 Stockholm, Sverige",Tensta,16367,Spånga-Tensta stadsdelsområde,Tensta,Stockholm,Stockholms län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Markaryd," Sweden",56.4596131,13.5919834,"28535 Markaryd, Sverige",Markaryd,28535,,,Markaryd,Kronobergs län,Sverige,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright